dataset,ensemble,type,subset,subset_indices,F1
O1 + N15,2models,k_subset,Old_under+New_under,"0,3",0.2356
O1 + N15,2models,k_subset,Old_under+New_over,"0,4",0.1947
O1 + N15,2models,k_subset,Old_under+New_hybrid,"0,5",0.2241
O1 + N15,2models,k_subset,Old_over+New_under,"1,3",0.1677
O1 + N15,2models,k_subset,Old_over+New_over,"1,4",0.1441
O1 + N15,2models,k_subset,Old_over+New_hybrid,"1,5",0.1964
O1 + N15,2models,k_subset,Old_hybrid+New_under,"2,3",0.2341
O1 + N15,2models,k_subset,Old_hybrid+New_over,"2,4",0.1652
O1 + N15,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.2045
O1 + N15,2models,k_subsets_mean,,,0.1962
O1 + N15,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1576
O1 + N15,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1389
O1 + N15,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1729
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1618
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1482
O1 + N15,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1531
O1 + N15,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2439
O1 + N15,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2523
O1 + N15,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2004
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1250
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1126
O1 + N15,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1386
O1 + N15,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2214
O1 + N15,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2347
O1 + N15,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.2010
O1 + N15,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2265
O1 + N15,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2245
O1 + N15,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1913
O1 + N15,3models,k_subsets_mean,,,0.1836
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1158
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1080
O1 + N15,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1243
O1 + N15,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1791
O1 + N15,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.2257
O1 + N15,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1839
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.2144
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.2345
O1 + N15,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.2083
O1 + N15,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2439
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1569
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1959
O1 + N15,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1797
O1 + N15,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2266
O1 + N15,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.2390
O1 + N15,4models,k_subsets_mean,,,0.1891
O1 + N15,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1585
O1 + N15,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1716
O1 + N15,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1758
O1 + N15,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.2275
O1 + N15,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.2301
O1 + N15,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.2145
O1 + N15,5models,k_subsets_mean,,,0.1963
O1 + N15,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.2064
O1 + N15,6models,k_subsets_mean,,,0.2064
O1 + N15,New,under,,,0.2435
O1 + N15,New,over,,,0.1836
O1 + N15,New,hybrid,,,0.1767
O1 + N15,Old,under,,,0.0530
O1 + N15,Old,over,,,0.0554
O1 + N15,Old,hybrid,,,0.0593
O1 + N15,OldNew,under,,,0.2356
O1 + N15,OldNew,over,,,0.1441
O1 + N15,OldNew,hybrid,,,0.2045
O2 + N14,2models,k_subset,Old_under+New_under,"0,3",0.1706
O2 + N14,2models,k_subset,Old_under+New_over,"0,4",0.1882
O2 + N14,2models,k_subset,Old_under+New_hybrid,"0,5",0.2115
O2 + N14,2models,k_subset,Old_over+New_under,"1,3",0.1744
O2 + N14,2models,k_subset,Old_over+New_over,"1,4",0.1383
O2 + N14,2models,k_subset,Old_over+New_hybrid,"1,5",0.1749
O2 + N14,2models,k_subset,Old_hybrid+New_under,"2,3",0.1440
O2 + N14,2models,k_subset,Old_hybrid+New_over,"2,4",0.1180
O2 + N14,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.1619
O2 + N14,2models,k_subsets_mean,,,0.1647
O2 + N14,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1593
O2 + N14,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1345
O2 + N14,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1670
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1233
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1175
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1363
O2 + N14,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2424
O2 + N14,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2294
O2 + N14,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2062
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1216
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.0960
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1266
O2 + N14,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2086
O2 + N14,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2267
O2 + N14,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.1880
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2078
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2089
O2 + N14,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1706
O2 + N14,3models,k_subsets_mean,,,0.1706
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1110
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1001
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1154
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1979
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.1913
O2 + N14,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1797
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1801
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.1851
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1632
O2 + N14,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2047
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1542
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1756
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1468
O2 + N14,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2037
O2 + N14,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.1882
O2 + N14,4models,k_subsets_mean,,,0.1665
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1356
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1632
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1513
O2 + N14,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.2256
O2 + N14,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.2002
O2 + N14,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.1885
O2 + N14,5models,k_subsets_mean,,,0.1774
O2 + N14,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.1774
O2 + N14,6models,k_subsets_mean,,,0.1774
O2 + N14,New,under,,,0.2443
O2 + N14,New,over,,,0.1870
O2 + N14,New,hybrid,,,0.1902
O2 + N14,Old,under,,,0.0524
O2 + N14,Old,over,,,0.0603
O2 + N14,Old,hybrid,,,0.0730
O2 + N14,OldNew,under,,,0.1706
O2 + N14,OldNew,over,,,0.1383
O2 + N14,OldNew,hybrid,,,0.1619
O3 + N13,2models,k_subset,Old_under+New_under,"0,3",0.2066
O3 + N13,2models,k_subset,Old_under+New_over,"0,4",0.1770
O3 + N13,2models,k_subset,Old_under+New_hybrid,"0,5",0.1944
O3 + N13,2models,k_subset,Old_over+New_under,"1,3",0.1977
O3 + N13,2models,k_subset,Old_over+New_over,"1,4",0.1505
O3 + N13,2models,k_subset,Old_over+New_hybrid,"1,5",0.1651
O3 + N13,2models,k_subset,Old_hybrid+New_under,"2,3",0.1695
O3 + N13,2models,k_subset,Old_hybrid+New_over,"2,4",0.1580
O3 + N13,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.1610
O3 + N13,2models,k_subsets_mean,,,0.1755
O3 + N13,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1707
O3 + N13,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1530
O3 + N13,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1593
O3 + N13,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1519
O3 + N13,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1433
O3 + N13,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1515
O3 + N13,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2599
O3 + N13,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2537
O3 + N13,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2143
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1365
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1331
O3 + N13,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1418
O3 + N13,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2249
O3 + N13,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2415
O3 + N13,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.2005
O3 + N13,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2307
O3 + N13,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2153
O3 + N13,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.2024
O3 + N13,3models,k_subsets_mean,,,0.1880
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1291
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1215
O3 + N13,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1339
O3 + N13,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.2074
O3 + N13,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.2068
O3 + N13,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1822
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1916
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.2141
O3 + N13,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1886
O3 + N13,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2079
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1743
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1814
O3 + N13,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1643
O3 + N13,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2152
O3 + N13,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.2282
O3 + N13,4models,k_subsets_mean,,,0.1831
O3 + N13,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1631
O3 + N13,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1752
O3 + N13,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1554
O3 + N13,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.2299
O3 + N13,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.2329
O3 + N13,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.2037
O3 + N13,5models,k_subsets_mean,,,0.1934
O3 + N13,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.1939
O3 + N13,6models,k_subsets_mean,,,0.1939
O3 + N13,New,under,,,0.2297
O3 + N13,New,over,,,0.1833
O3 + N13,New,hybrid,,,0.1830
O3 + N13,Old,under,,,0.0604
O3 + N13,Old,over,,,0.0651
O3 + N13,Old,hybrid,,,0.0682
O3 + N13,OldNew,under,,,0.2066
O3 + N13,OldNew,over,,,0.1505
O3 + N13,OldNew,hybrid,,,0.1610
O4 + N12,2models,k_subset,Old_under+New_under,"0,3",0.2179
O4 + N12,2models,k_subset,Old_under+New_over,"0,4",0.1817
O4 + N12,2models,k_subset,Old_under+New_hybrid,"0,5",0.2235
O4 + N12,2models,k_subset,Old_over+New_under,"1,3",0.1985
O4 + N12,2models,k_subset,Old_over+New_over,"1,4",0.1382
O4 + N12,2models,k_subset,Old_over+New_hybrid,"1,5",0.1918
O4 + N12,2models,k_subset,Old_hybrid+New_under,"2,3",0.1508
O4 + N12,2models,k_subset,Old_hybrid+New_over,"2,4",0.1528
O4 + N12,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.1699
O4 + N12,2models,k_subsets_mean,,,0.1806
O4 + N12,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1775
O4 + N12,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1681
O4 + N12,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1784
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1438
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1528
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1617
O4 + N12,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2410
O4 + N12,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2573
O4 + N12,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2028
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1390
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1338
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1499
O4 + N12,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.2001
O4 + N12,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.2457
O4 + N12,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.2107
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.2169
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.2041
O4 + N12,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1876
O4 + N12,3models,k_subsets_mean,,,0.1873
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1423
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.1323
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1444
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1851
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.2203
O4 + N12,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1968
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1921
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.2193
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1750
O4 + N12,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2507
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1703
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1856
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1571
O4 + N12,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2398
O4 + N12,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.2139
O4 + N12,4models,k_subsets_mean,,,0.1883
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1604
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1822
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1645
O4 + N12,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.2177
O4 + N12,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.2028
O4 + N12,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.1985
O4 + N12,5models,k_subsets_mean,,,0.1877
O4 + N12,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.1817
O4 + N12,6models,k_subsets_mean,,,0.1817
O4 + N12,New,under,,,0.2483
O4 + N12,New,over,,,0.1938
O4 + N12,New,hybrid,,,0.1853
